Source	Target	Weight
Yennefer	Geralt	20
Dandelion	Baron	2
Geralt	Baron	1
Dandelion	Sheldon	2
Dandelion	Donimir	1
Sheldon	Donimir	2
Donimir	Sheldon	1
Donimir	Two	1
Two	Dandelion	3
Calanthe	Dandelion	1
Dandelion	Calanthe	2
Sheldon	Baron	1
Sheldon	Dandelion	2
Baron	Sheldon	1
Little	Dandelion	1
Dandelion	Rience	19
Rience	Dandelion	29
Ciri	Dandelion	4
Rience	Ciri	1
Dandelion	Ciri	2
Ciri	Rience	1
Rience	Geralt	20
Dandelion	Sir	1
Sir	Rience	1
Sir	Dandelion	1
Rience	Yennefer	5
King	Dandelion	4
Yennefer	Calanthe	2
Geralt	Calanthe	1
Calanthe	Geralt	3
Calanthe	Rience	1
Geralt	Rience	10
Yennefer	Rience	1
Ciri	Yennefer	68
Ciri	Roach	2
Eskel	Ciri	5
Ciri	Eskel	5
Eskel	Roach	2
Roach	Ciri	1
Roach	Eskel	1
Ciri	Lambert	14
Lambert	Ciri	14
Ciri	Vesemir	11
Vesemir	Geralt	9
Triss	Ciri	64
Ciri	Triss	68
Geralt	Triss	44
Triss	Geralt	34
Triss	Lambert	6
Lambert	Vesemir	4
Vesemir	Ciri	15
Lambert	Triss	8
Triss	Vesemir	14
Vesemir	Triss	9
Vesemir	Lambert	4
Lambert	Geralt	6
Triss	Yennefer	8
Yennefer	Triss	3
Ciri	Two	3
Ciri	Calanthe	5
Vesemir	Eskel	1
Eskel	Triss	4
Triss	Eskel	4
Eskel	Vesemir	2
Eskel	Geralt	2
Geralt	Vesemir	5
Nenneke	Ciri	16
Ciri	Vanielle	1
Triss	Vanielle	1
Vanielle	Ciri	1
Yennefer	Ciri	56
Geralt	Ori	1
Ciri	Ori	1
Ori	Ciri	1
Beau	Ciri	1
Eskel	Lambert	1
Geralt	Eskel	1
Calanthe	Ciri	2
Yennefer	Vanielle	1
Vanielle	Yennefer	1
Vanielle	Geralt	1
Two	Ciri	1
Two	Triss	1
Triss	Forest	1
Forest	Geralt	1
Geralt	Yarpen	8
Yarpen	Geralt	14
Triss	Yarpen	7
Yarpen	Ciri	12
Ciri	Yarpen	24
Triss	King	1
Ciri	King	2
King	Geralt	3
Xavier	Yarpen	1
Xavier	Regan	1
Yarpen	Regan	1
Yannick	Yarpen	1
Paulie	Xavier	1
Xavier	Paulie	1
Paulie	Yannick	1
Yannick	Ciri	1
Yennefer	Yarpen	1
Regan	Yarpen	1
Yarpen	Triss	3
King	Yarpen	2
Yannick	Paulie	1
Paulie	Yarpen	3
Paulie	Triss	1
King	Henselt	2
King	Ciri	1
Henselt	Ciri	1
Ciri	Aelirenn	5
Aelirenn	Ciri	2
Aelirenn	Yarpen	1
Yarpen	Aelirenn	1
Ciri	Yannick	2
Yarpen	Yannick	1
Ciri	Regan	2
Regan	Ciri	2
Ciri	Paulie	5
Paulie	Ciri	3
Ciri	Sword	1
Paulie	Sword	1
Sword	Paulie	2
Yannick	Regan	1
Everett	Geralt	11
Everett	Ciri	1
Ciri	Iola	6
Nenneke	Geralt	4
Nenneke	Beau	1
Geralt	Beau	1
Geralt	Nenneke	4
Beau	Nenneke	1
Beau	Geralt	1
Beau	Iola	1
Nenneke	Iola	2
Geralt	Iola	2
Ciri	Nenneke	12
Geralt	Everett	6
Everett	Foltest	1
Geralt	Foltest	1
Geralt	King	3
Everett	Dandelion	1
Dandelion	Two	3
Dandelion	Shani	9
