Source	Target	Weight
Aubry	Barclay	2
Two	Barclay	1
Julia	Aubry	1
Julia	Marti	1
Marti	Shani	3
Shani	Iola	4
Menno	Isengrim	2
Isengrim	Menno	1
Menno	Iola	1
Triss	Nenneke	7
Jarre	Triss	1
Count	Gar	1
Marti	Daniel	1
Marti	Count	1
Daniel	Count	1
Count	Shani	1
Adam	Foltest	1
Adam	Bronibor	1
Julia	Foltest	1
Julia	Bronibor	1
Foltest	Bronibor	1
Iola	Yaevinn	1
Kobus	Count	1
Puttkammer	Menno	1
Menno	Puttkammer	1
Sir	Seven	1
Elan	Seven	1
Jarre	Bronibor	4
Bronibor	Jarre	2
Bronibor	Seven	1
Field	Bronibor	1
Menno	Sievers	1
Sievers	Seven	1
Sievers	Field	1
Zoltan	Munro	1
Zoltan	Guy	1
Munro	Guy	1
Munro	Field	1
Guy	Field	1
Jarre	Iola	1
Iola	Bronibor	1
Iola	Jarre	1
King	Meve	2
King	Ardal	1
Meve	Ardal	1
Ciri	Marti	1
Milo	Marti	1
Ciri	Stefan	1
Vilgefortz	Aen	2
Milva	Maria	2
Geralt	Maria	1
Ciri	Emiel	2
Geralt	Emiel	2
Emiel	Ciri	1
Yennefer	Emiel	1
Vilgefortz	Emiel	1
Geralt	Vilgefortz	22
Count	Stefan	1
Leo	Vilgefortz	1
Ciri	Cahir	6
Cahir	Two	1
Cahir	Aillil	1
Fringilla	Count	1
Count	Ciri	2
Ciri	Leo	1
Leo	Yennefer	1
Leo	Ciri	1
Geralt	Emhyr	2
Geralt	Pavetta	2
Emhyr	Vilgefortz	2
Emhyr	Pavetta	2
Vilgefortz	Pavetta	1
Pavetta	Emhyr	2
Emhyr	Duke	1
Duke	Emhyr	1
Emhyr	Xarthisius	1
Xarthisius	Vilgefortz	1
Vilgefortz	Braathens	1
Pavetta	Vilgefortz	1
Pavetta	Ciri	1
Emhyr	Calanthe	1
Geralt	Calanthe	1
Calanthe	Vilgefortz	1
Calanthe	Ciri	1
Emhyr	Ciri	3
Francesca	Geralt	1
Francesca	Fringilla	1
Pavetta	Calanthe	1
Pavetta	Cyrus	1
Calanthe	Cyrus	1
Cyrus	Calanthe	1
Calanthe	Triss	1
Triss	Ciri	12
Shilard	King	1
Shilard	Foltest	2
Shilard	Henselt	1
King	Foltest	1
King	Henselt	2
Foltest	Henselt	4
Henselt	King	2
Henselt	Meve	2
Henselt	Demavend	4
King	Demavend	3
Meve	Demavend	1
Meve	Henselt	1
Demavend	Henselt	2
Foltest	Demavend	1
Demavend	Cyrus	2
Demavend	Shilard	3
Cyrus	Shilard	1
Sabrina	Emhyr	1
Sabrina	Demavend	3
Sabrina	Shilard	1
Emhyr	Demavend	2
Emhyr	Shilard	2
Demavend	Assire	3
Shilard	Assire	1
Assire	Francesca	1
Sabrina	Francesca	3
Sabrina	Margarita	2
Francesca	Sabrina	2
Francesca	Margarita	1
Francesca	King	2
Sabrina	King	1
Margarita	King	1
Margarita	Demavend	1
Francesca	Demavend	3
King	Sabrina	1
King	Francesca	1
Demavend	Sabrina	1
Demavend	Francesca	2
Demavend	Philippa	2
Philippa	Demavend	4
Philippa	Assire	1
Riordain	Isengrim	1
Shilard	Baron	4
Baron	Ambassador	1
Ambassador	Shilard	1
Baron	Shilard	2
Shilard	Emhyr	2
Shilard	Demavend	1
Foltest	Meve	2
Henselt	Foltest	1
Meve	Foltest	1
Meve	Calanthe	1
Foltest	Calanthe	1
Philippa	Foltest	1
Foltest	Philippa	1
Foltest	Emhyr	1
Philippa	Emhyr	1
Emhyr	Margarita	1
Margarita	Assire	1
Triss	Vattier	1
Vattier	Emhyr	2
Vattier	Count	2
Vattier	Stefan	1
Zuleyka	Ciri	2
Zuleyka	Calanthe	1
Zuleyka	Shilard	1
Ciri	Calanthe	1
Ciri	Shilard	1
Calanthe	Shilard	1
Calanthe	Emhyr	1
Pavetta	Philippa	1
Demavend	Radovid	1
Cyrus	Radovid	2
Philippa	Radovid	1
Nenneke	Iola	1
Iola	Milo	1
Philippa	Sigismund	1
Lucienne	Jarre	8
Jarre	Lucienne	6
Two	Lucienne	1
Toruviel	Lucienne	1
Rayla	Barclay	2
Isengrim	Riordain	1
Philippa	King	2
Ciri	Beau	1
Dandelion	Beau	2
Beau	Count	1
Julia	Ciri	1
Julia	Count	3
Ciri	Count	1
Ciri	Julia	1
Count	Julia	1
Julia	Anna	1
Dandelion	Anna	1
Anna	Beau	1
Dandelion	Baron	1
Fringilla	Jan	1
Jan	Dandelion	1
Yennefer	Kelpie	2
Kelpie	Geralt	1
Kelpie	Dandelion	1
Yennefer	Triss	10
Ciri	Margarita	2
Triss	Margarita	2
Triss	Yennefer	15
Margarita	Yennefer	2
Margarita	Ciri	1
Yennefer	Philippa	2
Philippa	Ciri	7
Ciri	Francesca	3
Francesca	Yennefer	2
Francesca	Tissaia	2
Yennefer	Tissaia	8
Tissaia	Ciri	2
Emhyr	Philippa	1
Philippa	Esterad	1
Philippa	Zuleyka	1
Esterad	Zuleyka	1
Esterad	Ciri	1
Yennefer	Francesca	1
Francesca	Ciri	2
Yennefer	Margarita	1
Geralt	Margarita	2
Margarita	Geralt	2
Ciri	Sabrina	2
Sabrina	Keira	1
Sabrina	Geralt	1
Keira	Geralt	1
Keira	Yennefer	1
Geralt	Sabrina	2
Sabrina	Yennefer	3
Triss	Geralt	1
Triss	Tissaia	1
Geralt	Tissaia	1
Margarita	Tissaia	1
Tissaia	Francesca	1
Ida	Ciri	1
Assire	Ciri	1
Yennefer	Sabrina	2
Dandelion	Meve	1
Two	Dandelion	2
Two	Geralt	2
Yarpen	Zoltan	8
Zoltan	Yarpen	5
Zoltan	King	1
Yarpen	King	3
King	Zoltan	1
King	Yarpen	1
Zoltan	Percival	1
Percival	Field	1
Field	Yarpen	1
Zoltan	Regan	1
Yarpen	Eudora	2
Zoltan	Eudora	2
Eudora	Zoltan	1
Eudora	Dandelion	1
Zoltan	Dandelion	2
Yennefer	King	1
Yarpen	Geralt	2
Dandelion	Yarpen	3
Yarpen	Dandelion	1
King	Dandelion	1
Dandelion	Zoltan	1
Zoltan	Sword	1
Eskel	Geralt	1
Eskel	Vesemir	3
Eskel	Lambert	1
Geralt	Vesemir	1
Geralt	Lambert	2
Vesemir	Lambert	2
Vesemir	Eskel	2
Vesemir	Geralt	1
Lambert	Eskel	1
Lambert	Vesemir	1
Geralt	Zoltan	1
Kelpie	Yennefer	5
Triss	Kelpie	2
Tissaia	Yennefer	3
Triss	Alzur	1
Yennefer	Alzur	1
Nimue	Triss	3
Triss	Nimue	1
Dandelion	Yennefer	2
Yennefer	Dandelion	1
Dandelion	Triss	1
Kelpie	Triss	1
Ciri	Milva	1
Yennefer	Cahir	1
Yennefer	Milva	1
Yennefer	Zoltan	1
Cahir	Zoltan	1
Cahir	Triss	1
Milva	Zoltan	1
Milva	Triss	1
Milva	Lytta	1
Zoltan	Triss	1
Zoltan	Lytta	1
Zoltan	Ciri	1
Triss	Lytta	1
Lytta	Ciri	2
Lytta	Triss	1
Triss	Dandelion	1
Triss	Yarpen	1
Dandelion	Mistle	1
